"id","prompt","asset","status"
"driverless","Illustrate streets without drivers: a bright solarpunk civic scene, restrained shapes, no explicit violence.","","prompt"
"admin-ai","Illustrate the administration shift: a bright solarpunk civic scene, restrained shapes, no explicit violence.","","prompt"
"fusion","Illustrate a small sun on earth: a bright solarpunk civic scene, restrained shapes, no explicit violence.","","prompt"
"robot-care","Illustrate care beyond capacity: a bright solarpunk civic scene, restrained shapes, no explicit violence.","","prompt"
"orbital","Illustrate beyond the extraction frontier: a bright solarpunk civic scene, restrained shapes, no explicit violence.","","prompt"
"ubi","Illustrate a floor beneath everyone: a bright solarpunk civic scene, restrained shapes, no explicit violence.","","prompt"
"vaccines","Illustrate health without borders: a bright solarpunk civic scene, restrained shapes, no explicit violence.","","prompt"
"dna","Illustrate a shared genetic library: a bright solarpunk civic scene, restrained shapes, no explicit violence.","","prompt"
"commons","Illustrate the neighborhood commons: a bright solarpunk civic scene, restrained shapes, no explicit violence.","","prompt"
"loneliness","Illustrate an age of isolation: a bright solarpunk civic scene, restrained shapes, no explicit violence.","","prompt"
"civic","Illustrate a universal care compact: a bright solarpunk civic scene, restrained shapes, no explicit violence.","","prompt"
"fossil","Illustrate the last easy reserves: a bright solarpunk civic scene, restrained shapes, no explicit violence.","","prompt"
"cooperative","Illustrate automation dividends: a bright solarpunk civic scene, restrained shapes, no explicit violence.","","prompt"
"repair","Illustrate built to be repaired: a bright solarpunk civic scene, restrained shapes, no explicit violence.","","prompt"
"platform","Illustrate platforms become infrastructure: a bright solarpunk civic scene, restrained shapes, no explicit violence.","","prompt"
"circular","Illustrate the circular economy: a bright solarpunk civic scene, restrained shapes, no explicit violence.","","prompt"
"heat","Illustrate the long heat season: a bright solarpunk civic scene, restrained shapes, no explicit violence.","","prompt"
"wetlands","Illustrate room for the river: a bright solarpunk civic scene, restrained shapes, no explicit violence.","","prompt"
"grid","Illustrate a grid that bends: a bright solarpunk civic scene, restrained shapes, no explicit violence.","","prompt"
"cooling","Illustrate a cooler city: a bright solarpunk civic scene, restrained shapes, no explicit violence.","","prompt"
"restoration","Illustrate a living planet network: a bright solarpunk civic scene, restrained shapes, no explicit violence.","","prompt"
"learning","Illustrate learning after work: a bright solarpunk civic scene, restrained shapes, no explicit violence.","","prompt"
"water","Illustrate water held in common: a bright solarpunk civic scene, restrained shapes, no explicit violence.","","prompt"
"energy","Illustrate reserves for uncertain days: a bright solarpunk civic scene, restrained shapes, no explicit violence.","","prompt"
