"id","card","aspect","quantity","text","prompt"
"fusion-req","fusion","technology","3","Provisional: count World + your National aspects only.","Decide whether prerequisites must remain satisfied."
"orbital-req","orbital","technology","5","Provisional: count World + your National aspects only.","Special-rule prompt: define off-world resource access and who benefits. Construction schedules round-end completion."
"ubi-req","ubi","social","3","Provisional: count World + your National aspects only.","Decide whether prerequisites must remain satisfied."
"dna-req","dna","social","3","Provisional: count World + your National aspects only.","Decide whether prerequisites must remain satisfied."
"civic-req","civic","social","5","Provisional: count World + your National aspects only.","Special-rule prompt: define shared care obligations across nations. Construction schedules round-end completion."
"repair-req","repair","economy","3","Provisional: count World + your National aspects only.","Decide whether prerequisites must remain satisfied."
"circular-req","circular","economy","5","Provisional: count World + your National aspects only.","Special-rule prompt: define how material recovery changes ongoing consumption. Construction schedules round-end completion."
"wetlands-req","wetlands","ecology","3","Provisional: count World + your National aspects only.","Decide whether prerequisites must remain satisfied."
"grid-req","grid","ecology","3","Provisional: count World + your National aspects only.","Decide whether prerequisites must remain satisfied."
"restoration-req","restoration","ecology","5","Provisional: count World + your National aspects only.","Special-rule prompt: define cross-border habitat protection and Climate tolerance. Construction schedules round-end completion."
"energy-req","energy","economy","3","Provisional: count World + your National aspects only.","Decide whether prerequisites must remain satisfied."
