"id","card","outcome","timing","target","scale","side","value","text","prompt"
"driverless-A-0","driverless","A","immediate","national limit","employment","lower","1","Employment lower limit +1 · illustrative.","Confirm magnitude, stacking and reversal."
"driverless-A-1","driverless","A","immediate","national limit","wealth","lower","-1","Wealth lower limit -1 · illustrative.","Confirm magnitude, stacking and reversal."
"driverless-B-0","driverless","B","immediate","national limit","welfare","lower","-1","Welfare lower limit -1 · illustrative.","Confirm magnitude, stacking and reversal."
"admin-ai-A-0","admin-ai","A","immediate","world value","employment","","-1","World employment -1 · illustrative.","Confirm magnitude, stacking and reversal."
"admin-ai-A-1","admin-ai","A","immediate","world value","welfare","","1","World welfare +1 · illustrative.","Confirm magnitude, stacking and reversal."
"admin-ai-B-0","admin-ai","B","immediate","world value","employment","","-2","World employment -2 · illustrative.","Confirm magnitude, stacking and reversal."
"admin-ai-B-1","admin-ai","B","immediate","world value","wealth","","2","World wealth +2 · illustrative.","Confirm magnitude, stacking and reversal."
"admin-ai-B-2","admin-ai","B","immediate","world value","energy","","-1","World energy -1 · illustrative.","Confirm magnitude, stacking and reversal."
"fusion-enact-0","fusion","enact","immediate","national limit","energy","lower","-2","Energy lower limit -2 · illustrative.","Confirm magnitude, stacking and reversal."
"robot-care-A-0","robot-care","A","immediate","national limit","welfare","lower","-1","Welfare lower limit -1 · illustrative.","Confirm magnitude, stacking and reversal."
"robot-care-B-0","robot-care","B","immediate","national limit","employment","lower","1","Employment lower limit +1 · illustrative.","Confirm magnitude, stacking and reversal."
"robot-care-B-1","robot-care","B","immediate","national limit","welfare","lower","-1","Welfare lower limit -1 · illustrative.","Confirm magnitude, stacking and reversal."
"orbital-enact-0","orbital","enact","immediate","world value","wealth","","2","World wealth +2 · illustrative.","Confirm magnitude, stacking and reversal."
"ubi-enact-0","ubi","enact","immediate","national limit","employment","lower","-2","Employment lower limit -2 · illustrative.","Confirm magnitude, stacking and reversal."
"vaccines-enact","vaccines","enact","ongoing","rule","wealth","","","Proposed exception: low Wealth no longer reduces Welfare.","Confirm magnitude, stacking and reversal."
"dna-enact-0","dna","enact","immediate","world value","welfare","","1","World welfare +1 · illustrative.","Confirm magnitude, stacking and reversal."
"commons-enact","commons","enact","ongoing","rule","welfare","lower","","Proposed rule: maintain access to the service described above.","Confirm magnitude, stacking and reversal."
"loneliness-enact-0","loneliness","enact","ongoing","national limit","welfare","lower","1","Welfare lower limit +1 while active · illustrative.","Confirm magnitude, stacking and reversal."
"civic-enact-0","civic","enact","immediate","world value","welfare","","2","World welfare +2 · illustrative.","Confirm magnitude, stacking and reversal."
"fossil-enact-0","fossil","enact","ongoing","national limit","energy","lower","1","Energy lower limit +1 while active · illustrative.","Confirm magnitude, stacking and reversal."
"cooperative-enact","cooperative","enact","ongoing","rule","welfare","lower","","Proposed rule: maintain access to the service described above.","Confirm magnitude, stacking and reversal."
"repair-enact-0","repair","enact","immediate","national limit","wealth","lower","-1","Wealth lower limit -1 · illustrative.","Confirm magnitude, stacking and reversal."
"platform-A-0","platform","A","immediate","world value","welfare","","1","World welfare +1 · illustrative.","Confirm magnitude, stacking and reversal."
"platform-B-0","platform","B","immediate","world value","wealth","","2","World wealth +2 · illustrative.","Confirm magnitude, stacking and reversal."
"circular-enact-0","circular","enact","immediate","world value","energy","","1","World energy +1 · illustrative.","Confirm magnitude, stacking and reversal."
"heat-enact","heat","enact","ongoing","world value","climate","","1","World climate +1 ongoing; illustrative.","Confirm magnitude, stacking and reversal."
"wetlands-enact-0","wetlands","enact","immediate","national limit","climate","upper","1","Climate upper limit +1 · illustrative.","Confirm magnitude, stacking and reversal."
"grid-enact-0","grid","enact","immediate","national limit","energy","lower","-1","Energy lower limit -1 · illustrative.","Confirm magnitude, stacking and reversal."
"cooling-A-0","cooling","A","immediate","world value","climate","","-1","World climate -1 · illustrative.","Confirm magnitude, stacking and reversal."
"cooling-B-0","cooling","B","immediate","world value","welfare","","1","World welfare +1 · illustrative.","Confirm magnitude, stacking and reversal."
"restoration-enact-0","restoration","enact","immediate","world value","climate","","-1","World climate -1 · illustrative.","Confirm magnitude, stacking and reversal."
"learning-A-0","learning","A","immediate","national limit","welfare","lower","-1","Welfare lower limit -1 · illustrative.","Confirm magnitude, stacking and reversal."
"learning-B-0","learning","B","immediate","national limit","employment","lower","-1","Employment lower limit -1 · illustrative.","Confirm magnitude, stacking and reversal."
"water-enact","water","enact","ongoing","rule","wealth","lower","","Proposed rule: maintain access to the service described above.","Confirm magnitude, stacking and reversal."
"energy-enact-0","energy","enact","immediate","national limit","energy","lower","-1","Energy lower limit -1 · illustrative.","Confirm magnitude, stacking and reversal."
