"id","kind","scope","subject","tier","prompt","title","statement","illustration","status","mode","activation","provenance"
"driverless","Breakthrough","National","technology","1","Explore streets without drivers as a provisional public-policy response.","Streets without drivers","Autonomous transport outperforms human drivers. Communities must decide who remains accountable.","driverless","defined","A/B","","Authored provisional; all numbers illustrative"
"admin-ai","Breakthrough","World","technology","2","Explore the administration shift as a provisional public-policy response.","The administration shift","AI systems take over routine administrative work, changing how millions earn a living.","admin-ai","defined","A/B","","Authored provisional; all numbers illustrative"
"fusion","Project","National","technology","3","Explore a small sun on earth as a provisional public-policy response.","A small sun on Earth","A public research consortium brings a pilot fusion plant online.","fusion","defined","single","","Authored provisional; all numbers illustrative"
"robot-care","Breakthrough","National","technology","1","Explore care beyond capacity as a provisional public-policy response.","Care beyond capacity","Assistive robots expand home care while human carers face new roles.","robot-care","defined","A/B","","Authored provisional; all numbers illustrative"
"orbital","Capstone","World","technology","4","Explore beyond the extraction frontier as a provisional public-policy response.","Beyond the extraction frontier","An orbital materials network could reduce pressure on terrestrial mining.","orbital","defined","Yes/No","","Authored provisional; all numbers illustrative"
"ubi","Project","National","society","3","Explore a floor beneath everyone as a provisional public-policy response.","A floor beneath everyone","A basic income protects households as paid work becomes less available.","ubi","defined","single","","Authored provisional; all numbers illustrative"
"vaccines","Policy","World","society","1","Explore health without borders as a provisional public-policy response.","Health without borders","A shared vaccine program protects access to care in low-wealth regions.","vaccines","defined","Yes/No","","Authored provisional; all numbers illustrative"
"dna","Project","World","society","2","Explore a shared genetic library as a provisional public-policy response.","A shared genetic library","A voluntary research library makes rare conditions easier to study, with public oversight.","dna","defined","Yes/No","","Authored provisional; all numbers illustrative"
"commons","Policy","National","society","1","Explore the neighborhood commons as a provisional public-policy response.","The neighborhood commons","Local care, kitchens and learning spaces make public support tangible.","commons","defined","single","","Authored provisional; all numbers illustrative"
"loneliness","Crisis","National","society","1","Explore an age of isolation as a provisional public-policy response.","An age of isolation","Personalized entertainment expands while in-person support networks weaken.","loneliness","defined","single","reveal","Authored provisional; all numbers illustrative"
"civic","Capstone","World","society","4","Explore a universal care compact as a provisional public-policy response.","A universal care compact","Nations coordinate durable access to housing, health and lifelong learning.","civic","defined","Yes/No","","Authored provisional; all numbers illustrative"
"fossil","Crisis","National","economy","3","Explore the last easy reserves as a provisional public-policy response.","The last easy reserves","Accessible fossil resources run short before replacement systems are ready.","fossil","defined","single","reveal","Authored provisional; all numbers illustrative"
"cooperative","Policy","National","economy","1","Explore automation dividends as a provisional public-policy response.","Automation dividends","Worker-owned systems distribute a share of automated production.","cooperative","defined","single","","Authored provisional; all numbers illustrative"
"repair","Project","National","economy","2","Explore built to be repaired as a provisional public-policy response.","Built to be repaired","Open standards extend the life of tools, appliances and essential machines.","repair","defined","single","","Authored provisional; all numbers illustrative"
"platform","Breakthrough","World","economy","3","Explore platforms become infrastructure as a provisional public-policy response.","Platforms become infrastructure","Private platforms mediate essential services and shape public choices.","platform","defined","A/B","","Authored provisional; all numbers illustrative"
"circular","Capstone","World","economy","4","Explore the circular economy as a provisional public-policy response.","The circular economy","Material recovery becomes the default across essential industries.","circular","defined","Yes/No","","Authored provisional; all numbers illustrative"
"heat","Crisis","World","climate","2","Explore the long heat season as a provisional public-policy response.","The long heat season","Persistent heat strains crops, grids and public health.","heat","defined","single","reveal","Authored provisional; all numbers illustrative"
"wetlands","Project","National","climate","3","Explore room for the river as a provisional public-policy response.","Room for the river","Restored wetlands absorb floods and give habitats space to recover.","wetlands","defined","single","","Authored provisional; all numbers illustrative"
"grid","Project","National","climate","1","Explore a grid that bends as a provisional public-policy response.","A grid that bends","Local storage and distributed generation keep essential services available.","grid","defined","single","","Authored provisional; all numbers illustrative"
"cooling","Breakthrough","World","climate","2","Explore a cooler city as a provisional public-policy response.","A cooler city","Reflective roofs and shaded streets reduce dangerous urban heat.","cooling","defined","A/B","","Authored provisional; all numbers illustrative"
"restoration","Capstone","World","climate","4","Explore a living planet network as a provisional public-policy response.","A living planet network","Connected habitats support recovery across national borders.","restoration","defined","Yes/No","","Authored provisional; all numbers illustrative"
"learning","Breakthrough","National","society","1","Explore learning after work as a provisional public-policy response.","Learning after work","Public learning moves beyond job preparation toward participation and care.","learning","defined","A/B","","Authored provisional; all numbers illustrative"
"water","Policy","National","climate","2","Explore water held in common as a provisional public-policy response.","Water held in common","Public water trusts coordinate access during prolonged dry seasons.","water","defined","single","","Authored provisional; all numbers illustrative"
"energy","Project","National","economy","3","Explore reserves for uncertain days as a provisional public-policy response.","Reserves for uncertain days","Shared storage cushions disruptions to energy supply.","energy","defined","single","","Authored provisional; all numbers illustrative"
"open-horizon","Breakthrough","","","","Explore how collective ownership changes access to automated research.","","","","prompt","unresolved","","Unfinished content"
"ocean-partial","Project","World","climate","3","Explore responsible ocean restoration.","An ocean in recovery","","","partial","Yes/No","","Unfinished content"
