"id","card","aspect","options"
"admin-ai-governance","admin-ai","governance","A|B|Abstain"
"admin-ai-technology","admin-ai","technology","A|B|Abstain"
"orbital-governance","orbital","governance","Yes|No|Abstain"
"orbital-technology","orbital","technology","Yes|No|Abstain"
"vaccines-governance","vaccines","governance","Yes|No|Abstain"
"vaccines-social","vaccines","social","Yes|No|Abstain"
"dna-governance","dna","governance","Yes|No|Abstain"
"dna-social","dna","social","Yes|No|Abstain"
"civic-governance","civic","governance","Yes|No|Abstain"
"civic-social","civic","social","Yes|No|Abstain"
"platform-governance","platform","governance","A|B|Abstain"
"platform-economy","platform","economy","A|B|Abstain"
"circular-governance","circular","governance","Yes|No|Abstain"
"circular-economy","circular","economy","Yes|No|Abstain"
"heat-governance","heat","governance","Yes|No|Abstain"
"heat-ecology","heat","ecology","Yes|No|Abstain"
"cooling-governance","cooling","governance","A|B|Abstain"
"cooling-ecology","cooling","ecology","A|B|Abstain"
"restoration-governance","restoration","governance","Yes|No|Abstain"
"restoration-ecology","restoration","ecology","Yes|No|Abstain"
