"id","nation","scale","side","value","provenance"
"A-employment-lower","A","employment","lower","1","Illustrative fixture; Climate sides provisional"
"A-welfare-lower","A","welfare","lower","2","Illustrative fixture; Climate sides provisional"
"A-wealth-lower","A","wealth","lower","3","Illustrative fixture; Climate sides provisional"
"A-energy-lower","A","energy","lower","4","Illustrative fixture; Climate sides provisional"
"A-climate-lower","A","climate","lower","1","Illustrative fixture; Climate sides provisional"
"A-climate-upper","A","climate","upper","9","Illustrative fixture; Climate sides provisional"
"B-employment-lower","B","employment","lower","2","Illustrative fixture; Climate sides provisional"
"B-welfare-lower","B","welfare","lower","3","Illustrative fixture; Climate sides provisional"
"B-wealth-lower","B","wealth","lower","4","Illustrative fixture; Climate sides provisional"
"B-energy-lower","B","energy","lower","1","Illustrative fixture; Climate sides provisional"
"B-climate-lower","B","climate","lower","2","Illustrative fixture; Climate sides provisional"
"B-climate-upper","B","climate","upper","10","Illustrative fixture; Climate sides provisional"
"C-employment-lower","C","employment","lower","3","Illustrative fixture; Climate sides provisional"
"C-welfare-lower","C","welfare","lower","4","Illustrative fixture; Climate sides provisional"
"C-wealth-lower","C","wealth","lower","1","Illustrative fixture; Climate sides provisional"
"C-energy-lower","C","energy","lower","2","Illustrative fixture; Climate sides provisional"
"C-climate-lower","C","climate","lower","3","Illustrative fixture; Climate sides provisional"
"C-climate-upper","C","climate","upper","11","Illustrative fixture; Climate sides provisional"
"D-employment-lower","D","employment","lower","4","Illustrative fixture; Climate sides provisional"
"D-welfare-lower","D","welfare","lower","1","Illustrative fixture; Climate sides provisional"
"D-wealth-lower","D","wealth","lower","2","Illustrative fixture; Climate sides provisional"
"D-energy-lower","D","energy","lower","3","Illustrative fixture; Climate sides provisional"
"D-climate-lower","D","climate","lower","4","Illustrative fixture; Climate sides provisional"
"D-climate-upper","D","climate","upper","9","Illustrative fixture; Climate sides provisional"
"E-employment-lower","E","employment","lower","1","Illustrative fixture; Climate sides provisional"
"E-welfare-lower","E","welfare","lower","2","Illustrative fixture; Climate sides provisional"
"E-wealth-lower","E","wealth","lower","3","Illustrative fixture; Climate sides provisional"
"E-energy-lower","E","energy","lower","4","Illustrative fixture; Climate sides provisional"
"E-climate-lower","E","climate","lower","1","Illustrative fixture; Climate sides provisional"
"E-climate-upper","E","climate","upper","10","Illustrative fixture; Climate sides provisional"
