"id","card","subject","tier","permanent","combination"
"driverless-expiry","driverless","technology","4","false","unresolved"
"admin-ai-expiry","admin-ai","technology","4","false","unresolved"
"fusion-expiry","fusion","technology","4","false","unresolved"
"robot-care-expiry","robot-care","technology","4","false","unresolved"
"orbital-expiry","orbital","technology","4","false","unresolved"
"ubi-expiry","ubi","society","4","false","unresolved"
"vaccines-expiry","vaccines","society","4","true","unresolved"
"dna-expiry","dna","society","4","false","unresolved"
"commons-expiry","commons","society","4","true","unresolved"
"loneliness-expiry","loneliness","society","4","false","unresolved"
"civic-expiry","civic","society","4","false","unresolved"
"fossil-expiry","fossil","economy","4","false","unresolved"
"cooperative-expiry","cooperative","economy","4","true","unresolved"
"repair-expiry","repair","economy","4","false","unresolved"
"repair-expiry-2","repair","technology","3","false","unresolved"
"platform-expiry","platform","economy","4","false","unresolved"
"circular-expiry","circular","economy","4","false","unresolved"
"heat-expiry","heat","climate","4","false","unresolved"
"wetlands-expiry","wetlands","climate","4","false","unresolved"
"grid-expiry","grid","climate","4","false","unresolved"
"cooling-expiry","cooling","climate","4","false","unresolved"
"restoration-expiry","restoration","climate","4","false","unresolved"
"learning-expiry","learning","society","4","false","unresolved"
"water-expiry","water","climate","4","true","unresolved"
"energy-expiry","energy","economy","4","false","unresolved"
