"id","card","outcome","aspect","quantity"
"driverless-A-1","driverless","A","technology","2"
"driverless-A-2","driverless","A","governance","1"
"driverless-B-1","driverless","B","governance","1"
"driverless-B-2","driverless","B","governance","1"
"admin-ai-A-1","admin-ai","A","technology","1"
"admin-ai-B-1","admin-ai","B","technology","1"
"fusion-enact-1","fusion","enact","technology","1"
"robot-care-A-1","robot-care","A","technology","1"
"robot-care-B-1","robot-care","B","technology","1"
"orbital-enact-1","orbital","enact","technology","2"
"orbital-enact-2","orbital","enact","governance","1"
"ubi-enact-1","ubi","enact","social","1"
"vaccines-enact-1","vaccines","enact","social","1"
"dna-enact-1","dna","enact","social","1"
"commons-enact-1","commons","enact","social","2"
"commons-enact-2","commons","enact","governance","1"
"loneliness-enact-1","loneliness","enact","social","1"
"civic-enact-1","civic","enact","social","1"
"fossil-enact-1","fossil","enact","economy","1"
"cooperative-enact-1","cooperative","enact","economy","2"
"cooperative-enact-2","cooperative","enact","governance","1"
"repair-enact-1","repair","enact","economy","1"
"platform-A-1","platform","A","economy","1"
"platform-B-1","platform","B","economy","1"
"circular-enact-1","circular","enact","economy","1"
"heat-enact-1","heat","enact","ecology","2"
"heat-enact-2","heat","enact","governance","1"
"wetlands-enact-1","wetlands","enact","ecology","1"
"grid-enact-1","grid","enact","ecology","1"
"cooling-A-1","cooling","A","ecology","1"
"cooling-B-1","cooling","B","ecology","1"
"restoration-enact-1","restoration","enact","ecology","2"
"restoration-enact-2","restoration","enact","governance","1"
"learning-A-1","learning","A","social","1"
"learning-B-1","learning","B","economy","1"
"water-enact-1","water","enact","ecology","1"
"energy-enact-1","energy","enact","economy","1"
