"id","card","key","label","text","prompt"
"driverless-A","driverless","A","Autonomous access","Open roads to autonomous fleets; improve material access while paid driving work contracts.","Write the exact autonomous access outcome."
"driverless-B","driverless","B","Require a human operator","Require accountable human operators and preserve trusted access to transport.","Write the exact require a human operator outcome."
"admin-ai-A","admin-ai","A","Fund a managed transition","Fund public services as routine administrative jobs disappear.","Write the exact fund a managed transition outcome."
"admin-ai-B","admin-ai","B","Open unrestricted research","Expand research without a transition program; output rises while work and energy systems face strain.","Write the exact open unrestricted research outcome."
"fusion-enact","fusion","enact","Build the pilot","Build the pilot. A public research consortium brings a pilot fusion plant online.","Write the exact build the pilot outcome."
"robot-care-A","robot-care","A","Keep human oversight","Keep trained carers responsible for each care plan and use robots as assistants.","Write the exact keep human oversight outcome."
"robot-care-B","robot-care","B","Expand automated care","Offer automated care widely, with fewer paid care roles and broader basic access.","Write the exact expand automated care outcome."
"orbital-enact","orbital","enact","Build the network","Build the network. An orbital materials network could reduce pressure on terrestrial mining.","Write the exact build the network outcome."
"ubi-enact","ubi","enact","Establish basic income","Establish basic income. A basic income protects households as paid work becomes less available.","Write the exact establish basic income outcome."
"vaccines-enact","vaccines","enact","Enact shared access","Enact shared access. A shared vaccine program protects access to care in low-wealth regions.","Write the exact enact shared access outcome."
"dna-enact","dna","enact","Create the library","Create the library. A voluntary research library makes rare conditions easier to study, with public oversight.","Write the exact create the library outcome."
"commons-enact","commons","enact","Fund local services","Fund local services. Local care, kitchens and learning spaces make public support tangible.","Write the exact fund local services outcome."
"loneliness-enact","loneliness","enact","Active on reveal","Active on reveal. Personalized entertainment expands while in-person support networks weaken.","Write the exact active on reveal outcome."
"civic-enact","civic","enact","Adopt the compact","Adopt the compact. Nations coordinate durable access to housing, health and lifelong learning.","Write the exact adopt the compact outcome."
"fossil-enact","fossil","enact","Active on reveal","Active on reveal. Accessible fossil resources run short before replacement systems are ready.","Write the exact active on reveal outcome."
"cooperative-enact","cooperative","enact","Share the dividend","Share the dividend. Worker-owned systems distribute a share of automated production.","Write the exact share the dividend outcome."
"repair-enact","repair","enact","Build repair networks","Build repair networks. Open standards extend the life of tools, appliances and essential machines.","Write the exact build repair networks outcome."
"platform-A","platform","A","Regulate public access","Guarantee essential access through public regulation.","Write the exact regulate public access outcome."
"platform-B","platform","B","Allow private expansion","Allow private platforms to expand; material output grows without a public access guarantee.","Write the exact allow private expansion outcome."
"circular-enact","circular","enact","Build circular systems","Build circular systems. Material recovery becomes the default across essential industries.","Write the exact build circular systems outcome."
"heat-enact","heat","enact","Active on reveal","Active on reveal. Persistent heat strains crops, grids and public health.","Write the exact active on reveal outcome."
"wetlands-enact","wetlands","enact","Restore the wetlands","Restore the wetlands. Restored wetlands absorb floods and give habitats space to recover.","Write the exact restore the wetlands outcome."
"grid-enact","grid","enact","Connect local storage","Connect local storage. Local storage and distributed generation keep essential services available.","Write the exact connect local storage outcome."
"cooling-A","cooling","A","Coordinate a public rollout","Coordinate shaded streets and reflective roofs across cities.","Write the exact coordinate a public rollout outcome."
"cooling-B","cooling","B","Support local experiments","Support neighborhood cooling experiments and local care networks.","Write the exact support local experiments outcome."
"restoration-enact","restoration","enact","Connect protected habitats","Connect protected habitats. Connected habitats support recovery across national borders.","Write the exact connect protected habitats outcome."
"learning-A","learning","A","Open lifelong learning","Open public learning to everyone, whether or not they hold paid work.","Write the exact open lifelong learning outcome."
"learning-B","learning","B","Focus specialist training","Protect specialist training and support income from scarce skills.","Write the exact focus specialist training outcome."
"water-enact","water","enact","Establish water trusts","Establish water trusts. Public water trusts coordinate access during prolonged dry seasons.","Write the exact establish water trusts outcome."
"energy-enact","energy","enact","Build strategic reserves","Build strategic reserves. Shared storage cushions disruptions to energy supply.","Write the exact build strategic reserves outcome."
